epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,8.20438,0.14376,1,1,0.00066,0.000552194,0.000552194,0.000552194
2,14.8546,0.00932,1,1,0.00014,0.00109689,0.00109689,0.00109689
3,21.0245,0.01226,1,1,0.0003,0.00163059,0.00163059,0.00163059
4,27.1774,0.01659,1,1,0,0.00161749,0.00161749,0.00161749
5,33.164,0.01046,1,1,0,0.00160099,0.00160099,0.00160099
6,38.579,0.03547,1,1,0.00053,0.00158448,0.00158448,0.00158448
7,44.0476,0.01315,1,1,0,0.00156798,0.00156798,0.00156798
8,49.581,0.002,1,1,0,0.00155148,0.00155148,0.00155148
9,54.9897,0.00287,1,1,0,0.00153497,0.00153497,0.00153497
10,60.4382,0.0048,1,1,0,0.00151847,0.00151847,0.00151847
11,65.8979,0.01031,1,1,1e-05,0.00150197,0.00150197,0.00150197
